in s,C1 in V,C2 in V,C3 in V,C4 in V
-1.0022E-02,2.31705E-01,5.79254E-03,3.30737E-01,2.20070E-01
-1.0019E-02,2.31583E-01,4.80072E-03,3.18469E-01,2.19994E-01
-1.0016E-02,2.31186E-01,4.19037E-03,2.99502E-01,2.19994E-01
-1.0012E-02,2.31125E-01,3.35114E-03,2.80169E-01,2.20681E-01
-1.0009E-02,2.31094E-01,3.80890E-03,2.66238E-01,2.20605E-01
-1.0006E-02,2.30789E-01,2.96967E-03,2.53329E-01,2.20833E-01
-1.0002E-02,2.30698E-01,3.27484E-03,2.48706E-01,2.20833E-01
-9.9992E-03,2.30240E-01,3.04596E-03,2.49652E-01,2.19918E-01
-9.9959E-03,2.30423E-01,3.50372E-03,2.52047E-01,2.20223E-01
-9.9926E-03,2.30148E-01,4.26666E-03,2.57968E-01,2.20757E-01
-9.9894E-03,2.29996E-01,3.35114E-03,2.66345E-01,2.20757E-01
-9.9861E-03,2.30423E-01,3.50372E-03,2.78033E-01,2.20681E-01
-9.9828E-03,2.30057E-01,3.35114E-03,2.92361E-01,2.21673E-01
-9.9795E-03,2.30179E-01,3.73260E-03,3.05102E-01,2.21444E-01
-9.9763E-03,2.30301E-01,4.41925E-03,3.16195E-01,2.22893E-01
-9.9730E-03,2.30148E-01,3.73260E-03,3.22116E-01,2.22893E-01
-9.9697E-03,2.30148E-01,4.19037E-03,3.36810E-01,2.22283E-01
-9.9664E-03,2.29965E-01,5.10590E-03,3.54983E-01,2.21367E-01
-9.9632E-03,2.30698E-01,5.18219E-03,3.74942E-01,2.22054E-01
-9.9599E-03,2.30301E-01,3.80890E-03,3.93786E-01,2.20910E-01
-9.9566E-03,2.31277E-01,4.49554E-03,4.09411E-01,2.21749E-01
-9.9533E-03,2.31277E-01,5.33478E-03,4.27981E-01,2.21596E-01
-9.9500E-03,2.31491E-01,4.80072E-03,4.52411E-01,2.21749E-01
-9.9468E-03,2.30911E-01,3.96149E-03,4.83249E-01,2.21978E-01
-9.9435E-03,2.31461E-01,2.96967E-03,4.98690E-01,2.22741E-01
-9.9402E-03,2.30972E-01,4.11407E-03,5.09890E-01,2.22207E-01
-9.9369E-03,2.30789E-01,4.80072E-03,5.14605E-01,2.23504E-01
-9.9337E-03,2.31369E-01,2.81708E-03,5.16772E-01,2.23656E-01
-9.9304E-03,2.30667E-01,2.89337E-03,5.15994E-01,2.24190E-01
-9.9271E-03,2.30667E-01,2.51190E-03,5.13934E-01,2.22970E-01
-9.9238E-03,2.30606E-01,3.19855E-03,5.09311E-01,2.23351E-01
-9.9206E-03,2.31461E-01,3.50372E-03,5.07708E-01,2.22893E-01
-9.9173E-03,2.31064E-01,4.03778E-03,5.04535E-01,2.23122E-01
-9.9140E-03,2.31705E-01,3.65631E-03,4.99255E-01,2.23351E-01
-9.9107E-03,2.31979E-01,3.04596E-03,4.89642E-01,2.22741E-01
-9.9074E-03,2.32651E-01,3.27484E-03,4.77466E-01,2.22588E-01
-9.9042E-03,2.32498E-01,2.96967E-03,4.56118E-01,2.22512E-01
-9.9009E-03,2.32925E-01,4.26666E-03,4.32254E-01,2.20986E-01
-9.8976E-03,2.33078E-01,5.02960E-03,4.08053E-01,2.21215E-01
-9.8943E-03,2.33017E-01,5.02960E-03,3.79077E-01,2.20147E-01
-9.8911E-03,2.33139E-01,3.50372E-03,3.59027E-01,2.21825E-01
-9.8878E-03,2.32590E-01,4.11407E-03,3.37466E-01,2.20986E-01
-9.8845E-03,2.32651E-01,3.58002E-03,3.19919E-01,2.21978E-01
-9.8812E-03,2.31674E-01,2.96967E-03,3.00799E-01,2.21978E-01
-9.8780E-03,2.31277E-01,2.58820E-03,2.89386E-01,2.21215E-01
-9.8747E-03,2.31583E-01,2.05414E-03,2.79529E-01,2.19155E-01
-9.8714E-03,2.31674E-01,3.19855E-03,2.68969E-01,2.20070E-01
-9.8681E-03,2.32040E-01,2.74078E-03,2.61615E-01,2.20299E-01
-9.8649E-03,2.32224E-01,3.80890E-03,2.52978E-01,2.20070E-01
-9.8616E-03,2.32315E-01,3.50372E-03,2.48721E-01,2.20833E-01
-9.8583E-03,2.32803E-01,3.19855E-03,2.45868E-01,2.20986E-01
-9.8550E-03,2.33109E-01,4.34296E-03,2.45837E-01,2.21062E-01
-9.8517E-03,2.33444E-01,4.19037E-03,2.47622E-01,2.22130E-01
-9.8485E-03,2.33444E-01,3.19855E-03,2.51452E-01,2.22283E-01
-9.8452E-03,2.33994E-01,3.19855E-03,2.60211E-01,2.22664E-01
-9.8419E-03,2.33658E-01,3.58002E-03,2.75332E-01,2.22359E-01
-9.8386E-03,2.33902E-01,4.57184E-03,2.94772E-01,2.22283E-01
-9.8354E-03,2.33688E-01,4.49554E-03,3.21429E-01,2.23046E-01
